ID,Title,Link,City and Country,Location,Segment,Image Src,Latitude,Longitude
110,"Duxford, GB",http://en.the-wall-net.org/duxford-uk/,"Duxford, GB",Location: The American Air Museum / Imperial War Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/02/EU051_2.jpg,52.0947808,0.1583392
111,"Ein Hod, IL",http://en.the-wall-net.org/ein-hod-il/,"Ein Hod, IL",Location: Janco-Dada-Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/12/AS018_3.jpg,40.00032,-89.25037
112,"Elblag, PL",http://en.the-wall-net.org/elblag-pl/,"Elblag, PL",Location: premises at ul. Mazurska,2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/08/EU096.jpg,54.1558708,19.4044583
113,"Elsenfeld, BY",http://en.the-wall-net.org/elsenfeld-by/,"Elsenfeld, BY",Location: Dammsfeldstraße between Untermainhalle and schools1 segment,"On October 3, 1991, the first anniversary of German reunification, a segment of the Berlin Wall was set up inElsenfeldon the initiative of Ivo Trützler, then chairman of the district council. The inscription on an attached plaque reads:",http://en.the-wall-net.org/wp-content/uploads/2021/08/D204.jpg,49.8473123,9.1618537
114,"Emmen, CH",http://en.the-wall-net.org/emmen-ch/,"Emmen, CH",Location: military airfield Emmen,1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/02/EU115_1.jpg,47.0752429,8.2839456
115,"Erding, BY",http://en.the-wall-net.org/erding/,"Erding, BY","Location: Erdinger Weissbräu, premises",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/08/D103_4.jpg,48.3064441,11.9076579
116,"Erfurt, TH",http://en.the-wall-net.org/erfurt/,"Erfurt, TH","Location: government district, Werner-Seelenbinder-Straße",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,50.9777974,11.0287364
117,"Essen, NW – Kreuzeskirche",http://en.the-wall-net.org/essen-nw-kreuzeskirche/,"Essen, NW – Kreuzeskirche",Location: in front of the Kreuzeskirche,2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/11/D171.jpg,51.4594907,7.0111473
118,"Essen-Rüttenscheid, NW",http://en.the-wall-net.org/essen-ruttenscheid/,"Essen-Rüttenscheid, NW","Location: Alfredstreet, in front of an office building",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/11/4D074.png,51.4228685,7.0037628
119,"Eureka Springs, AR",http://en.the-wall-net.org/eureka-springs-ar/,"Eureka Springs, AR","Location: The Great Passion Play, Passion Play Road",several elements of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2015/01/US088B.jpg,36.4000796,-93.7392419
120,"Eureka, IL",http://en.the-wall-net.org/eureka-il/,"Eureka, IL","Location: Eureka College, Ronald Reagan Peace Garden",part of a segment,http://en.the-wall-net.org/wp-content/uploads/2016/01/US106.jpg,40.7213015,-89.2726708
121,"Fassberg, NI",http://en.the-wall-net.org/fasberg/,"Fassberg, NI",Location: Airlift Memorial,2 segments from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2015/10/D039_1.jpg,52.8989323,10.1667763
122,"Fátima, P",http://en.the-wall-net.org/fatima-p/,"Fátima, P",Location: Santuário de Fátima,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/02/EU032_3.jpg,-7.0839952,-41.4721918
123,"Flagstaff, AZ",http://en.the-wall-net.org/flagstaff-az/,"Flagstaff, AZ",Location: Nothern Arizona University/Martin-Springer Institute,fragment,http://en.the-wall-net.org/wp-content/uploads/2021/11/US125.jpg,35.1987522,-111.651822
124,"Fort Benning, GA",http://en.the-wall-net.org/fort-benning-ga/,"Fort Benning, GA","Location: National Infantry Museum, Columbus",3 segments,http://en.the-wall-net.org/wp-content/uploads/2014/09/US065.jpg,32.3620907,-84.953158
125,"Fort Knox, KY",http://en.the-wall-net.org/fort-knox-ky/,"Fort Knox, KY",Location: General Patton Museum,3 segments,http://en.the-wall-net.org/wp-content/uploads/2014/12/US044.jpg,37.8976552,-85.9038521
126,"Fort Leavenworth, KS",http://en.the-wall-net.org/fort-leavenworth-ks/,"Fort Leavenworth, KS",Location: U.S. Army Garrison Fort Leavenworth,3 segments from the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2014/12/US008.jpg,39.345184,-94.921703
127,"Fort Leonhard Wood, MO",http://en.the-wall-net.org/fort-leonhard-wood-mo/,"Fort Leonhard Wood, MO",Location:US Army Engineer Museum,"Fort Leonard Wood and the US Army Maneuver Support Center (MANSCEN) are a 65-acre training facility in the Missouri Ozarks. Chemical, engineer, military police, transportation Soldiers, Marines, Airmen, Sailors and international students from allied nations receive training here.",http://en.the-wall-net.org/wp-content/uploads/2016/02/US070B.jpg,37.125502,-92.91968
128,"Fort Sill, OK",http://en.the-wall-net.org/fort-sill-ok/,"Fort Sill, OK",Location:US Army Artillery Museum,parts of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2017/03/US111B.jpg,34.7027408,-98.5074309
129,"Fort Worth, TX",http://en.the-wall-net.org/fort-worth-tx/,"Fort Worth, TX","Location: Galderma Laboratories, office building",1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/04/US116.jpg,32.753177,-97.3327459
130,"Frankfurt/Main, HE",http://en.the-wall-net.org/frankfurtmain/,"Frankfurt/Main, HE","Location: Leica Gallery, Am Salzhaus (temp. in 2015)",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/10/D106B_TEMPORARY.jpg,50.1106444,8.6820917
131,"Frankfurt/Main, HE – Airlift memorial",http://en.the-wall-net.org/frankfurt/,"Frankfurt/Main, HE – Airlift memorial",Location: Rhein Main Base,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/11/D081_1.jpg,,
132,"Freckenhorst, NW",http://en.the-wall-net.org/freckenhorst-nw/,"Freckenhorst, NW",Location: at the Petrikapelle,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,51.9208811,7.967874
133,"Fritzlar, HE",http://en.the-wall-net.org/fritzlar-he/,"Fritzlar, HE",Location: Berliner Platz,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/03/D157B.jpg,51.1537071,9.2645106
134,"Ft. Huachuca, AZ",http://en.the-wall-net.org/ft-huachuca-az/,"Ft. Huachuca, AZ",Location: Military Intelligence Museum,parts from the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2016/03/US108.jpg,31.5272545,-110.3606475
135,"Fuerstenfeldbruck, BY",http://en.the-wall-net.org/fuerstenfeldbruck-by/,"Fuerstenfeldbruck, BY",,,http://en.the-wall-net.org/wp-content/uploads/2021/07/D201.jpg,48.1794705,11.2547202
136,"Fulton, MO",http://en.the-wall-net.org/fulton-mo/,"Fulton, MO","Location:Winston Churchill Memorial Library, Westminster College",8 segments from Brandenburg Gate,http://en.the-wall-net.org/wp-content/uploads/2014/08/US010.jpg,38.8467082,-91.9479586
137,"Fürstenberg/Havel, BB",http://en.the-wall-net.org/furstenberghavel-bb/,"Fürstenberg/Havel, BB",Location: warehouse,4 segments from Potsdamer Platz (plus 1 replica),http://en.the-wall-net.org/wp-content/uploads/2017/01/D153.jpg,53.1844661,13.1482276
138,"Gatlinburg, TN",http://en.the-wall-net.org/gatlinburg-tn/,"Gatlinburg, TN",Location:Ripley’s Believe It Or Not!,several parts of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2015/12/US104.jpg,35.714259,-83.5101638
139,"Gdansk, PL",http://en.the-wall-net.org/danzig-polen/,"Gdansk, PL",Location: In front of Solidarnos Gdansk offices,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/08/EU029_2.jpg,54.3706858,18.6129821
140,"Geneva, CH",http://en.the-wall-net.org/geneva-ch/,"Geneva, CH","Location: World Council of Churches, Route de Ferney",3 segments,http://en.the-wall-net.org/wp-content/uploads/2018/07/EU119_B.jpg,46.2017559,6.1466014
141,"Gent, B",http://en.the-wall-net.org/gent-b/,"Gent, B","Location: Flanders Expo, main entrance",1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2014/12/EU004.jpg,51.0212834,3.5316518
142,"Genting Highlands, MAL",http://en.the-wall-net.org/genting-highlands-mal/,"Genting Highlands, MAL","Location:Ripley’s Believe It or Not!, indoor theme park, First World Plaza",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/Malaysia.jpg,47.06979,22.81441
143,"Giessen, HE",http://en.the-wall-net.org/giessen/,"Giessen, HE","Location: central station, temporarily in 2015",3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/09/D104_TEMPORARY1.jpg,50.5862066,8.6742306
144,"Gillingham, GB",http://en.the-wall-net.org/gillingham-uk/,"Gillingham, GB",Location: Royal Engineers Museum Library & Archive,3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/02/E018.jpg,51.3871701,0.5461611
145,"Gloucester, GB",http://en.the-wall-net.org/gloucester-uk/,"Gloucester, GB",Location: opposite of the entrance to the ARRC’s headquarters/Imjin Barracks,1 segment (probably from the British Sector),http://en.the-wall-net.org/wp-content/uploads/2020/11/EU135.jpg,51.8653705,-2.2458192
146,"Gniezno, PL",http://en.the-wall-net.org/gniezno-pl/,"Gniezno, PL",Location: Institute of European Cultur,2 segmente,http://en.the-wall-net.org/wp-content/uploads/2018/03/EU097_1.png,52.5359736,17.595889
147,"Gonfreville l’Orcher, F",http://en.the-wall-net.org/gonfreville-lorcher-f/,"Gonfreville l’Orcher, F","Location: Chemin Vert, Promenade Nelson Mandela1 segment","Gonfreville l’Orcher, located near Le Havre in Seine-Maritime, commemorates every September the liberation of the Nazi occupation in 1944. The 72nd anniversary of this liberation came along with another anniversary, the 50th birthday of twinning with Teltow, Brandenburg. A partnership that even began in GDR times and has survived the fall of the Wall. On this occasion, Teltow donated a Wall segment which wasset up in 2016. The mural, which symbolizes the return of peace, was done by students of the art school Teltow.",http://en.the-wall-net.org/wp-content/uploads/2016/09/EU100.jpg,49.5039262,0.2338372
148,"Goseong, ROK",http://en.the-wall-net.org/goseong-rok/,"Goseong, ROK",Location: DMZ Museum,2 segments,http://en.the-wall-net.org/wp-content/uploads/2018/10/AS026.jpg,-23.38032,150.50595
149,"Gournay-en-Bray, F",http://en.the-wall-net.org/gournay-en-bray-f/,"Gournay-en-Bray, F",Location: Av. de l’Europe/company site3 segments,"In 2011, these three segments were set up on the grounds of theSikacompany, a supplier to the construction and automotive industries, northwest of Paris.",http://en.the-wall-net.org/wp-content/uploads/2022/08/EU141.jpg,49.4824794,1.7241534
150,"Grafing, BY",http://en.the-wall-net.org/grafing/,"Grafing, BY",Location: on a schoolyard,2 segments,http://en.the-wall-net.org/wp-content/uploads/2016/06/D014.jpg,48.0502855,11.9661337
151,"Grand Rapids, MI – Gerald Ford Library and Museum",http://en.the-wall-net.org/grand-rapids-mi-2/,"Grand Rapids, MI – Gerald Ford Library and Museum",Location: Gerald R. Ford Presidential Library and Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/12/US050_3B.jpg,,
152,"Grand Rapids, MI – Grand Valley State University",http://en.the-wall-net.org/grand-valley-mi/,"Grand Rapids, MI – Grand Valley State University","Location: Allendale Campus, Zumberge Library",1 fragment,http://en.the-wall-net.org/wp-content/uploads/2014/10/US083.jpg,42.9645209,-85.6801556
153,"Grand Rapids, MI – Van Andel Museum",http://en.the-wall-net.org/grand-rapids-mi/,"Grand Rapids, MI – Van Andel Museum",Location: Van Andel Museum Center,1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2017/10/US049.jpg,,
154,Grossbeeren-Heinersdorf,http://en.the-wall-net.org/grossbeeren-heinersdorf/,Grossbeeren-Heinersdorf,"Location: at the village green, Heinersdorfer Straße",2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/09/D167.jpg,52.3868333,13.3270303
155,Grossbeeren-Osdorf,http://en.the-wall-net.org/grossbeeren-osdorf/,Grossbeeren-Osdorf,Location: on the former border to Berlin,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/09/D166.jpg,52.4015413,13.3313078
156,"Grou, NL",http://en.the-wall-net.org/grou-nl/,"Grou, NL","Location: Museum Bescherming Bevolking, Commandopost Grou",1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/01/EU114.jpg,53.0936536,5.8322342
157,"Guatemala-City, GCA",http://en.the-wall-net.org/guatemala-city-gca/,"Guatemala-City, GCA",Location: Plaza de Berlín,3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/05/S002.jpg,,
158,"Hamburg (area), HH",http://en.the-wall-net.org/hamburg-area-hh/,"Hamburg (area), HH",Location: private property,1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/11/D151.jpg,44.2153143,28.5959483
159,"Hamburg, HH – Barmbek (temp)",http://en.the-wall-net.org/hamburg-hh-barmbek-temp/,"Hamburg, HH – Barmbek (temp)",Location: Bert-Kämpfert-Platz (temp. in June 2017),2 segments,http://en.the-wall-net.org/wp-content/uploads/2017/10/D170TEMP.jpg,53.58737,10.04475
160,"Hamburg, HH – Elbphilharmonie",http://en.the-wall-net.org/hamburg/,"Hamburg, HH – Elbphilharmonie","Location: Square of German Union (Platz der Deutschen Einheit), in front of theElbe Philharmonic Concert Hall",1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/10/D052.jpg,53.5412916,9.9842058
161,"Hameln, NI",http://en.the-wall-net.org/hameln-ni/,"Hameln, NI",Location: Berliner Platz,1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2016/01/D125-e1453750158637.jpg,52.1039941,9.3561569
162,"Hamilton, NY",http://en.the-wall-net.org/hamilton-ny/,"Hamilton, NY",Location: Campus of Colgate University,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/NewYork.jpg,43.6307863,-74.4659275
163,"Hamm, NW",http://en.the-wall-net.org/hamm/,"Hamm, NW",Location: private property,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,51.6804093,7.815197
164,"Hanover, NI – Scharnhorst barracks",http://en.the-wall-net.org/hannover-scharnhorst-barracks/,"Hanover, NI – Scharnhorst barracks",Location: Scharnhorst barracks,1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/05/D145B.jpg,,
165,"Hanover, NI – Glocksee",http://en.the-wall-net.org/hannover-glocksee/,"Hanover, NI – Glocksee",Location: üstra Glocksee work yard,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/05/D094B_TEMPORARY.jpg,52.3734625,9.7183812
166,"Hanover, NI – Weißekreuzplatz",http://en.the-wall-net.org/hannover/,"Hanover, NI – Weißekreuzplatz",Location: Weißekreuzplatz,2 segments,http://en.the-wall-net.org/wp-content/uploads/2015/05/D092.jpg,52.3816979,9.7453845
167,"Havixbeck, NW",http://en.the-wall-net.org/havixbeck/,"Havixbeck, NW",Location: close to the Anne-Frank-School,1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/01/D109_1.jpg,51.9750878,7.4135736
168,"Heemskerk, NL",http://en.the-wall-net.org/heemskerk-nl/,"Heemskerk, NL",Location: business park De Trompet,15 segments – temporary in 2015,http://en.the-wall-net.org/wp-content/uploads/2016/09/EU101T.jpg,52.5101177,4.6350609
169,"Heerlen, NL",http://en.the-wall-net.org/heerlen-nl/,"Heerlen, NL","Location: Arion Group, Businesspark Avantis",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/02/EU073_0.jpg,50.8775239,5.9815066
170,"Heidelberg, BW",http://en.the-wall-net.org/heidelberg/,"Heidelberg, BW",Location: Campbell Barracks,Parts of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2015/03/D086_1.jpg,49.4093582,8.694724
171,"Hemer, NW",http://en.the-wall-net.org/hemer-nw/,"Hemer, NW",Location: Friedenspark1 segment,A segment of the Berlin Wall was set up as a reminder in the Friedenspark in Hemer in 2022.The segment was originally erected in the local Blücher barracks and came into the possession of the town of Hemer in 2004 when the military base was abandoned.,http://en.the-wall-net.org/wp-content/uploads/2024/01/D211.png,46.92739,8.41028
172,"Herford, NW",http://en.the-wall-net.org/herford/,"Herford, NW",Location: Berliner Straße in Herford,1 segment from Brandenburg Gate,http://en.the-wall-net.org/wp-content/uploads/2015/01/D057B_IanDennis.jpg,46.92739,8.41028
173,"Herne, NW",http://en.the-wall-net.org/herne-nw/,"Herne, NW","Location: BAV Aufbereitung GmbH, private property",some hundred segments,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,51.5380394,7.219985
174,"Hertfordshire County, GB",http://en.the-wall-net.org/hertfordshire-county-gb/,"Hertfordshire County, GB",Location: private property,1 segment,http://en.the-wall-net.org/wp-content/uploads/2021/07/EU138.jpg,51.7310031,-0.4585966
175,"Hikone, J",http://en.the-wall-net.org/hikone-j/,"Hikone, J",Location: Maruho Co. Ltd.,1 segment from Checkpoint Charlie,http://en.the-wall-net.org/wp-content/uploads/2014/10/Togitsu.jpg,35.254276,136.215376
176,"Hoevelhof, NW",http://en.the-wall-net.org/hovelhof/,"Hoevelhof, NW","Location: European Biking Path R1, in front of a guesthouse",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/10/D058.jpg,46.92739,8.41028
177,"Hohen Neuendorf, BB – elementary school",http://en.the-wall-net.org/hohen-neuendorf-bb/,"Hohen Neuendorf, BB – elementary school",Location: elementary school Niederheide1 segment from Bornholmer Street (moved to Brazil),"Since 2013, a class from theelementary school Niederheide in Hohen Neuendorf, northeast of Berlin, has been in contact with the Brazilian school of musicLyra Mogimiriana in Mogi Mirim.",http://en.the-wall-net.org/wp-content/uploads/2016/04/D141TEMP.jpg,45.14914,11.82057
178,"Hohen Neuendorf, BB – Florastraße",http://en.the-wall-net.org/hohen-neuendorf-bb-florastrase/,"Hohen Neuendorf, BB – Florastraße",Location: Florastraße,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/10/D169.jpg,52.6641021,13.3164337
179,"Hollywood, CA – Ripley’s",http://en.the-wall-net.org/hollywood-ca-ripleys/,"Hollywood, CA – Ripley’s",Location:Ripley’s Believe It Or Not!,several parts of the Hinterlandmauer,http://en.the-wall-net.org/wp-content/uploads/2018/04/US115B.jpg,34.1012821,-118.3384446
180,"Hope, ID",http://en.the-wall-net.org/hope-id/,"Hope, ID","Location: Hope peninsula, David Thompson Road (private property)",1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/08/US038B.jpg,48.2481085,-116.3030924
181,"Houston, TX",http://en.the-wall-net.org/houston-tx/,"Houston, TX",Location: Rice University,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/10/US059.png,29.7589382,-95.3676974
182,"Hudson, MA",http://en.the-wall-net.org/hudson-ma/,"Hudson, MA",Location: American Heritage Museum1 segment,"TheAmerican Heritage Museumis dedicated to American conflicts, from the Revolutionary War to the present. The exhibits invite visitors to engage with the heritage of history and learn more about the American efforts to develop new technologies of warfare and the human impact of the American struggle to preserve freedom.",http://en.the-wall-net.org/wp-content/uploads/2021/08/US124.jpeg,42.3913503,-71.5676895
183,"Hueckeswagen, NW",http://en.the-wall-net.org/hueckeswagen-nw/,"Hueckeswagen, NW",Location: Bahnhofsplatz,1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/02/D136.jpg,46.92739,8.41028
184,"Hutchinson, KS",http://en.the-wall-net.org/hutchinson-ks/,"Hutchinson, KS",Location: Kansas Cosmosphere and Space Center,2 segments,http://en.the-wall-net.org/wp-content/uploads/2014/09/Hutchinson.jpg,38.0608444,-97.9297743
185,"Hyde Park, NY",http://en.the-wall-net.org/poughkeepsie-ny/,"Hyde Park, NY",Location: Franklin D. Roosevelt Presidential Library and Museum,4 segment (artwork),http://en.the-wall-net.org/wp-content/uploads/2014/12/US071B.jpg,41.7847232,-73.9332461
186,"Ibiza, E",http://en.the-wall-net.org/ibiza-e/,"Ibiza, E",Location: Bay of Vedella (private property),"1 segment from Waldemarstraße, Kreuzberg",http://en.the-wall-net.org/wp-content/uploads/2019/12/EU038_1.jpg,39.017575,1.5899531
187,"Jakarta, RI – Kalijodo Skate Park",http://en.the-wall-net.org/jakarta-ri-kalijodo-skate-park/,"Jakarta, RI – Kalijodo Skate Park",Location: Skate & BMX Park Kalijodo,4 segments,http://en.the-wall-net.org/wp-content/uploads/2017/10/AS022.jpg,42.51526,-92.44324
188,"Jakarta, RI – private property",http://en.the-wall-net.org/jakarta-ri/,"Jakarta, RI – private property",Location: in front of Teguh Ostenrik’s studio,4 segments,http://en.the-wall-net.org/wp-content/uploads/2014/10/AS022_RELOCATED.jpg,,
189,James Rizzi – on tour,http://en.the-wall-net.org/james-rizzi-on-tour/,James Rizzi – on tour,Location: various,3 segments,http://en.the-wall-net.org/wp-content/uploads/2016/11/DJR_T.jpg,47.54007,1.50525
190,"Jarnac, F",http://en.the-wall-net.org/jarnac-f/,"Jarnac, F",Location: La Gibauderie (private property),1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/12/EU044.jpg,45.6791182,-0.1740904
191,"Jeju, ROK",http://en.the-wall-net.org/jeju-rok/,"Jeju, ROK",Location: Jeju April 3rd Peace Park,2 segments from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2017/07/AS010B.jpg,33.248046,126.560285
192,"Jersey City, NJ",http://en.the-wall-net.org/jersey-city-nj/,"Jersey City, NJ",Location: unknown,4 segments from Berlin northern border,http://en.the-wall-net.org/wp-content/uploads/2014/10/JerseyCity.jpg,40.7215682,-74.047455
193,"Juelich, NW",http://en.the-wall-net.org/juelich-nw/,"Juelich, NW",Location: new town hall,3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/12/D122.jpg,46.92739,8.41028
194,"Kassel, HE – Berliner Platz",http://en.the-wall-net.org/kassel/,"Kassel, HE – Berliner Platz",Location: Berliner Platz (Berlin Square),1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,51.3199006,9.453322
195,"Kassel, HE – Weinbergstreet",http://en.the-wall-net.org/kassel-2/,"Kassel, HE – Weinbergstreet","Location: Museum of sepulchral culture, Weinbergstraße",1 segment from Checkpoint Charlie,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,,
196,"Kemmel, B",http://en.the-wall-net.org/kemmel-b/,"Kemmel, B",Location: Commando bunker1 segment,,http://en.the-wall-net.org/wp-content/uploads/2021/08/EU140.jpg,50.7828552,2.8258709
197,"Kennesaw, GA",http://en.the-wall-net.org/kennesaw-ga/,"Kennesaw, GA",Location: Kennesaw State University,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/03/US066_1B.jpg,34.0234337,-84.6154897
198,"Kiel, SH – CITTI Park",http://en.the-wall-net.org/kiel-2/,"Kiel, SH – CITTI Park","Location: CITTI Park, in front of administration building in Kiel",1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,54.3126709,10.101593
199,"Kiel, SH – Department of Trade and Industy",http://en.the-wall-net.org/kiel/,"Kiel, SH – Department of Trade and Industy","Location: Department of Trade and Industry Kiel, open-air area",1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/11/D065_B.jpg,,
200,"Kiev, UA",http://en.the-wall-net.org/kiev-ua/,"Kiev, UA",Location: in front of the German Embassy,1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2014/08/EU049B.jpg,50.4500336,30.5241361
201,"Kingston, JA",http://en.the-wall-net.org/kingston-ja/,"Kingston, JA",Location: Jamaica Defence Force,1 segment,http://en.the-wall-net.org/wp-content/uploads/2014/09/S009.jpg,47.8272369,-53.1122478
202,"Klein Rönnau, SH",http://en.the-wall-net.org/klein-ronnau/,"Klein Rönnau, SH",Location: private property,2 segments,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,53.9627134,10.3218919
203,"Koblenz, RP",http://en.the-wall-net.org/koblenz/,"Koblenz, RP",Location: Deutsches Eck (German Edge),3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/12/D037_2.jpg,50.3533278,7.5943951
204,"Kreuzweingarten (Euskirchen), NW",http://en.the-wall-net.org/kreuzweingarten-euskirchen/,"Kreuzweingarten (Euskirchen), NW",Location: private property,3 segments,http://en.the-wall-net.org/wp-content/uploads/2015/11/Deutschland.jpg,50.6121045,6.7912473
205,"Kronberg, HE",http://en.the-wall-net.org/kronberg/,"Kronberg, HE",,,http://en.the-wall-net.org/wp-content/uploads/2014/10/D050_3.jpg,50.1907586,8.5182993
206,"Krzyzowa, PL",http://en.the-wall-net.org/krzyzowa-pl/,"Krzyzowa, PL",Location: International Youth Center of Krzyzowa Foundation,1 segment,http://en.the-wall-net.org/wp-content/uploads/2017/04/EU061.jpg,49.84714,21.17242
207,"Kummersbruck, BY",http://en.the-wall-net.org/kummersbruck-by/,"Kummersbruck, BY",Location: Schweppermann Barracks,1 segment,http://en.the-wall-net.org/wp-content/uploads/2016/01/D131.jpg,49.4191932,11.8883978
208,"Kuopio, FIN",http://en.the-wall-net.org/kuopio-fin/,"Kuopio, FIN",Location: JELD-WEN factory premises,1 segment,http://en.the-wall-net.org/wp-content/uploads/2018/05/EU086B.jpg,-6.60243,147.86814
209,"Lagadas, GR",http://en.the-wall-net.org/lagadas-gr/,"Lagadas, GR",Location: Loutra Lagadas (2012-2014)(moved toThessaloniki),1 Segment,http://en.the-wall-net.org/wp-content/uploads/2015/06/Griechenland_r.jpg,40.7435204,23.0106094
210,"Landshut, BY",http://en.the-wall-net.org/landshut/,"Landshut, BY",Location: Landshut-West,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/11/D115.jpg,48.536217,12.1516551
211,"Langelandsfort, DK",http://en.the-wall-net.org/langelandsfort-dk/,"Langelandsfort, DK",Location:Cold War Museum,1 segment from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2015/05/EU047.jpg,54.7528608,10.7158793
212,"Langley, VA",http://en.the-wall-net.org/langley-va/,"Langley, VA",Location: CIA parking lot,3 segments from Potsdamer Platz,http://en.the-wall-net.org/wp-content/uploads/2014/10/US027_1.jpg,38.9464996,-77.1588685
213,"Las Vegas, NV",http://en.the-wall-net.org/las-vegas-nv/,"Las Vegas, NV","Location: Main Street Station Casino, Brewery and Hotel",fragments only,http://en.the-wall-net.org/wp-content/uploads/2014/12/US011B.jpg,36.1672559,-115.148516
214,"Lausanne, CH",http://en.the-wall-net.org/lausanne-ch/,"Lausanne, CH",Location: Olympic Museum,1 segment,http://en.the-wall-net.org/wp-content/uploads/2015/06/Schweiz_s.jpg,46.5218269,6.6327025
215,"Lauterbach, HE",http://en.the-wall-net.org/lauterbach-he/,"Lauterbach, HE",,,http://en.the-wall-net.org/wp-content/uploads/2021/07/D200B.jpg,50.6368507,9.3968633
216,"Lawrenceville, GA",http://en.the-wall-net.org/lawrenville-ga/,"Lawrenceville, GA",Location: Gwinnett Justice and Administration Center,(prev. location:Suwanee),http://en.the-wall-net.org/wp-content/uploads/2015/07/US099_2.jpg,33.9566391,-83.9890066
217,"Leipzig, SN – A&O Hostel",http://en.the-wall-net.org/leipzig-sn-ao-hostel/,"Leipzig, SN – A&O Hostel",Location: close to central station,"1 segmentTheA&O Hostelsinvite their guests, mainly school classes, to search for historical traces right in front of the door: 25 years after the fall of the Wall one segment each was set up in front of the Hostels inWeimar,Dresden, Leipzig andBerlin.",http://en.the-wall-net.org/wp-content/uploads/2017/09/D117.jpg,51.3444237,12.3854891
218,"Leipzig, SN – Gallery SansvoiX",http://en.the-wall-net.org/leipzig/,"Leipzig, SN – Gallery SansvoiX","Location: Galerie SansvoiX modern Art, in the sorting room of former Imperial German Railway Post Office",12 segments,http://en.the-wall-net.org/wp-content/uploads/2015/03/D006B.jpg,,
